listing,address,city,neighbourhood,beds,baths,property_type,unit_type,sold_date,sell_price,ask_price_final,ask_price_orig,sqft,age,property_tax,ownership_type,maintenance_fee,rules,zoning
R2441410,# 309 4477 HASTINGS STREET,Burnaby,Vancouver Heights,1,1,Apartment,1 Storey,2020-06-10,559900,559900,559900,722,0,,Freehold Strata,266.06,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2443545,# 205 4710 HASTINGS STREET,Burnaby,Capitol Hill BN,1,1,Apartment,Inside Unit,2020-03-11,460000,469888,469888,563,8,1902.03,Freehold Strata,311.68,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2438222,# 305 5335 E HASTINGS STREET,Burnaby,Capitol Hill BN,1,1,Apartment,Upper Unit,2020-03-03,376000,399900,399900,849,34,1773.97,Freehold Strata,326.27,"Pets Allowed with Restrictions, Pets Not Allowed",RM3
R2447868,# 310 5335 HASTINGS STREET,Burnaby,Capitol Hill BN,1,1,Apartment,"Inside Unit, Upper Unit",2020-04-25,330000,349999,349999,745,34,1688.44,Freehold Strata,286.57,"Pets Not Allowed, Rentals Allowed with Restrictions",RM3
R2387925,# 301 5450 EMPIRE DRIVE,Burnaby,Capitol Hill BN,1,1,Apartment,Inside Unit,2019-11-24,305000,320000,340000,642,45,1333.58,Freehold Strata,253.09,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",RM3
R2438463,# 307 5450 EMPIRE DRIVE,Burnaby,Capitol Hill BN,1,1,Apartment,"Penthouse, Upper Unit",2020-03-15,265000,319800,319800,622,44,1515.57,Freehold Strata,287.25,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",RM-3
R2439238,# 305 371 ELLESMERE AVENUE,Burnaby,Capitol Hill BN,2,2,Apartment,Corner Unit,2020-03-02,435000,435000,435000,881,47,1946.16,Freehold Strata,358.12,"Pets Allowed with Restrictions, Rentals Not Allowed",APT
R2445111,# 104 371 ELLESMERE AVENUE,Burnaby,Capitol Hill BN,2,2,Apartment,Corner Unit,2020-04-30,410000,429000,429000,901,47,1977.69,Freehold Strata,358.12,"Pets Allowed with Restrictions, Rentals Not Allowed",RM3
R2401694,# 82 5820 HASTINGS STREET,Burnaby,Capitol Hill BN,3,3,Apartment,End Unit,2020-05-17,387000,419900,419900,1039,55,,Undivided Interest,456.0,"Pets Not Allowed, Rentals Allowed",RM1
R2431842,# 24 5988 HASTINGS STREET,Burnaby,Capitol Hill BN,1,1,Apartment,1 Storey,2020-02-03,440000,439900,439900,730,26,2058.05,Freehold Strata,208.52,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2450845,# 42 6965 HASTINGS STREET,Burnaby,Sperling-Duthie,2,2,Townhouse,,2020-05-18,555000,585000,599000,922,9,2386.52,Freehold Strata,309.78,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",RM3
R2455520,# 8 7110 BARNET ROAD,Burnaby,Westridge BN,3,2,Townhouse,,2020-06-01,568000,580000,580000,1123,32,2223.04,Freehold Strata,267.92,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2457669,# 1102 1888 GILMORE AVENUE,Burnaby,Brentwood Park,1,1,Apartment,Upper Unit,2020-05-22,470000,479000,479000,482,0,,Freehold Strata,196.9,"Pets Allowed with Restrictions, Rentals Allowed",CDRM5
R2441310,# 802 4189 HALIFAX STREET,Burnaby,Brentwood Park,1,1,Apartment,Upper Unit,2020-03-15,554900,559900,559900,634,5,2301.73,Freehold Strata,217.98,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2429892,# 504 4132 HALIFAX STREET,Burnaby,Brentwood Park,1,1,Apartment,Corner Unit,2020-01-25,539000,539000,539000,752,15,2174.27,Freehold Strata,276.96,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2448185,# 1301 1888 GILMORE AVENUE,Burnaby,Brentwood Park,1,1,Apartment,"1 Storey, Corner Unit",2020-04-26,600000,618000,618000,618,0,,Freehold Strata,259.56,No Restrictions,CDRM5
R2451922,# 1302 1888 GILMORE AVENUE,Burnaby,Brentwood Park,1,1,Apartment,Corner Unit,2020-05-06,474000,498000,498000,482,0,,Freehold Strata,195.28,"Pets Allowed, Rentals Allowed",CDRM5
R2450922,# 2202 1888 GILMORE DRIVE,Burnaby,Brentwood Park,1,1,Apartment,Corner Unit,2020-05-02,478000,499900,499900,486,0,,Freehold Strata,196.9,"Pets Allowed with Restrictions, Rentals Allowed",CDRM5
R2448419,# 3302 1888 GILMORE AVENUE,Burnaby,Brentwood Park,1,1,Apartment,Upper Unit,2020-05-02,485000,499000,549000,486,0,,Freehold Strata,196.9,"Pets Allowed, Rentals Allowed",CDRM5
R2447864,# 3202 1888 GILMORE AVENUE,Burnaby,Brentwood Park,1,1,Apartment,Upper Unit,2020-04-21,485000,485000,539800,486,0,,Freehold Strata,196.9,"Pets Allowed, Rentals Allowed",CDRM5
R2448120,# 3702 1888 GILMORE AVENUE,Burnaby,Brentwood Park,0,1,Apartment,Upper Unit,2020-05-04,505000,535000,554800,490,0,,Freehold Strata,231.67,"Pets Allowed, Rentals Allowed",CDRM5
R2451533,# 806 4398 BUCHANAN STREET,Burnaby,Brentwood Park,2,1,Apartment,Corner Unit,2020-05-05,560000,599000,599000,843,19,2435.25,Freehold Strata,260.0,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2439077,# 905 4353 HALIFAX STREET,Burnaby,Brentwood Park,2,1,Apartment,"Corner Unit, Upper Unit",2020-04-10,509000,505000,519000,940,37,2134.63,Freehold Strata,346.09,"Pets Not Allowed, Rentals Allowed",CD
